id,prev_stop_id,next_stop_id,"starttime","endtime","start_lat","start_lon","end_lat","end_lon",validated,data_gap_type_id,"created_at","updated_at"
35078,7964279,7964280,"2016-03-04 09:36:59","2016-03-04 10:56:49","1.323975195012914","103.9297324563924","1.324525766359221","103.9344385165341",0,"3","2016-03-04 14:16:01","2016-03-04 14:16:01"
35100,7974670,7974671,"2016-03-05 13:30:40","2016-03-05 14:09:14","1.284385297796205","103.853578262572","1.3273418282844196","103.94657745027007",0,"3","2016-03-05 20:10:46","2016-03-05 20:10:46"
35167,8012230,8012231,"2016-03-08 09:51:55","2016-03-09 01:55:48","8.090736130213557","98.34000241947453","7.879708660535525","98.29292746985345",0,"3","2016-03-09 09:50:33","2016-03-09 09:50:33"
34277,7838361,7838365,"2016-02-19 09:40:11","2016-02-20 04:49:42","1.32488261","103.92983692","1.34206668","103.96456116",0,"3","2016-02-20 16:20:46","2016-02-20 16:20:46",
39781,8567900,8576784,"2016-05-21 09:07:01","2016-05-21 12:21:09","1.40496807","103.92932641","1.3980767","103.91584820000003",0,"3","2016-05-22 02:25:47","2016-05-23 05:11:01",
39850,8576811,8576813,"2016-05-21 09:07:01","2016-05-21 12:21:09","1.40496807","103.92932641","1.3980767","103.91584820000003",0,"3","2016-05-23 05:11:13","2016-05-23 05:11:13"
40242,8581558,8592077,"2016-05-24 09:01:17","2016-05-24 12:08:45","1.3412942","103.9631062","1.3412376604876373","103.96359654968407",0,"3","2016-05-26 17:12:16","2016-05-26 17:12:25"
40242,8581558,8592077,"2016-05-24 09:01:17","2016-05-24 12:08:45","1.3412942","103.9631062","1.3412376604876373","103.96359654968407",0,"3","2016-05-26 17:12:16","2016-05-26 17:12:25"
34114,7829298,7829299,"2016-02-19 08:52:18","2016-02-19 09:42:24","1.341889671562261","103.964303088267","1.353340601610251","103.9450998213078",0,"3","2016-02-19 14:11:11","2016-02-19 14:11:11"
34710,7884150,7891032,"2016-02-25 19:45:44","2016-02-26 02:21:44","1.341922851319733","103.9642856950418","1.340219558558375","103.96155650646412",0,"3","2016-02-26 02:45:45","2016-02-26 02:45:45"
34710,7884150,7891032,"2016-02-25 19:45:44","2016-02-26 02:21:44","1.341922851319733","103.9642856950418","1.340219558558375","103.96155650646412",0,"3","2016-02-26 02:45:45","2016-02-26 02:45:45"
